,precision,recall,f1-score
COVID,0.6490066225165563,0.4906008583690987,0.5604166666666666
Lung Opacity,0.7903612297181896,0.7926825127334465,0.7900148999574287
Normal,0.8311856823266219,0.9004074074074074,0.8606028821167021
Pneumonia,0.9003093525179856,0.920030534351145,0.9108888888888888
accuracy,0.8001861252115059,0.8001861252115059,0.8001861252115059
macro avg,0.7907157217698383,0.7706803282152743,0.7802308344074216
weighted avg,0.7903005079515115,0.8001861252115059,0.7907704253101064
