,precision,recall,f1-score
COVID,0.8395953757225434,0.814866760168303,0.8270462633451957
Lung Opacity,0.8879310344827587,0.8561928512053201,0.8717731696995344
Normal,0.9073286052009456,0.9416094210009813,0.9241512159884421
Pneumonia,0.9725490196078431,0.9253731343283582,0.9483747609942639
accuracy,0.8948365703458077,0.8948365703458077,0.8948365703458077
macro avg,0.9018510087535228,0.8845105416757406,0.892836352506859
weighted avg,0.8945029303712366,0.8948365703458077,0.8943656378599176
